Running for 30 seconds or hit Ctrl-C to end.
CPID      TID      NAME             CPU     REFERENCE         MISS    HIT%
5337     5337     kworker/6:1      6            8400          700  91.67%
2061     2061     dbus-broker      13          21400        22000   0.00%
3482     3494     Socket Thread    14          12600        14900   0.00%
3482     3493     Netlink Monitor  14           2800          600  78.57%
5654     5654     modprobe         17            700          500  28.57%
112      112      ksoftirqd/18     18            700          100  85.71%
5603     5603     sudo             14           3500         4700   0.00%
5656     5656     nvidia-modprobe  19           4600         1900  58.70%
5622     5622     modprobe         18           3400         2300  32.35%
2061     2061     dbus-broker      4            3600         5800   0.00%
5642     5642     kworker/11:0     11            200          100  50.00%
2074     2074     xfce4-session    13           9700         4200  56.70%
5616     5616     nvidia-modprobe  4           87600        15100  82.76%
3982     3997     Timer            15           5800         3400  41.38%
3224     3224     akonadi_ical_re  10           1200         2000   0.00%
2625     2670     gdbus            15            600          200  66.67%
5626     5626     modprobe         14            600         2200   0.00%
710      710      kworker/u80:5    15           1600          300  81.25%
2074     2074     xfce4-session    15          10700         5700  46.73%
5613     5613     modprobe         2           20100         1900  90.55%
2625     2625     plank            14           2700          300  88.89%
5663     5663     nvidia-modprobe  0             100          500   0.00%
1562     1562     kworker/7:2      7            1700          300  82.35%
5600     5669     WSI swapchain e  14           7100          600  91.55%
5621     5621     nvidia-modprobe  19          21700         5300  75.58%
3227     3254     QXcbEventQueue   12           1100          300  72.73%
5657     5657     nvidia-modprobe  12            600            0 100.00%
2625     2625     plank            0            3500         6900   0.00%
113      113      kworker/18:0     18          96800        18200  81.20%
5616     5616     nvidia-modprobe  0            8000          100  98.75%
65       65       rcuop/10         0            1700          300  82.35%
2469     2471     gmain            13           2300          800  65.22%
2156     2178     gdbus            0            1900         2400   0.00%
1508     1508     acpid            14          22900        16000  30.13%
5612     5612     nvidia-modprobe  2           50400        20000  60.32%
3982     5651     StreamTrans #35  19           1700         4700   0.00%
5600     5600     vkcube           13           3700         4400   0.00%
5642     5642     kworker/11:0     12            800            0 100.00%
18       18       rcu_preempt      0          904800        36800  95.93%
2752     2752     bamfdaemon       11          17400         5300  69.54%
5663     5663     nvidia-modprobe  7           12800         9000  29.69%
119      119      ksoftirqd/19     19           1900         1100  42.11%
5637     5637     sh               0           14900         4100  72.48%
5664     5664     modprobe         17           4300         7900   0.00%
5632     5632     nvidia-modprobe  0           14400          400  97.22%
3715     4008     TaskCon~ller #0  19            600          200  66.67%
3228     3228     akonadi_migrati  12            200            0 100.00%
2328     2328     xfsettingsd      14           4200         3700  11.90%
3229     3229     akonadi_newmail  9            3800         4300   0.00%
3223     3247     QXcbEventQueue   11           6400         3300  48.44%
2390     2390     xfdesktop        2            4900         1600  67.35%
2440     2518     QXcbEventQueue   14           2300          500  78.26%
3227     3254     QXcbEventQueue   14           4600          400  91.30%
2390     2390     xfdesktop        12           5500         2200  60.00%
1528     1528     usbmuxd          3           54600        28800  47.25%
3227     3254     QXcbEventQueue   9            3300         2600  21.21%
0        0        swapper/2        2          478600        16300  96.59%
4531     4531     mousepad         8            2200         8100   0.00%
2426     2426     upowerd          4          173900        69400  60.09%
5600     5666     vkcube           17           2900         1500  48.28%
153      153      migration/9      9             500          100  80.00%
1617     1617     Xorg             18          38900        34400  11.57%
3225     3237     QXcbEventQueue   16           4300         1600  62.79%
5614     5614     modprobe         17          11500         2900  74.78%
2438     2438     xfce4-terminal   14           9300         5300  43.01%
2390     2390     xfdesktop        4            5400         1200  77.78%
3482     3821     FSBroker3820     0           11900         1000  91.60%
2752     2785     gdbus            14           6200         1100  82.26%
2752     2752     bamfdaemon       10           3500          300  91.43%
3715     3715     Isolated Web Co  8           17800        16000  10.11%
2349     2349     xfce4-panel      12          12000         4400  63.33%
2438     2438     xfce4-terminal   0          188800        84800  55.08%
172      172      kcompactd0       2            7300         1000  86.30%
3573     3573     Privileged Cont  3            4800         3800  20.83%
68       68       migration/12     12          53600         4100  92.35%
2349     2349     xfce4-panel      10          25600        21200  17.19%
4387     4387     kworker/16:1     16          52200         8300  84.10%
3820     5643     StreamTrans #36  2          137500       128400   6.62%
3573     3595     Timer            14           1300          200  84.62%
725      725      kworker/7:1      7           68600         3300  95.19%
3226     3238     QXcbEventQueue   13           1200         2200   0.00%
3982     3982     Isolated Web Co  12           5600         8300   0.00%
5627     5627     nvidia-modprobe  12           3900          400  89.74%
3226     3238     QXcbEventQueue   0            1100          100  90.91%
711      711      jbd2/dm-0-8      18          14500        13800   4.83%
5616     5616     nvidia-modprobe  2            1300          700  46.15%
2273     2273     xfwm4            8           87300        47400  45.70%
5648     5648     nvidia-modprobe  0           15200          300  98.03%
3224     3224     akonadi_ical_re  16           6800         5300  22.06%
1672     1672     wpa_supplicant   0            4800         3000  37.50%
3222     3251     QXcbEventQueue   12           2100         1100  47.62%
0        0        swapper/7        7          137100         8100  94.09%
170      170      kworker/u80:2    18           3200         4000   0.00%
5658     5658     sh               0            2700         3000   0.00%
1617     1617     Xorg             15          27200        33800   0.00%
5058     5620     StreamTrans #11  0           50100        34600  30.94%
5600     5600     vkcube           18           5700         1400  75.44%
3223     3223     akonadi_contact  17           5300         5600   0.00%
3820     3820     Isolated Web Co  18           4800         3200  33.33%
2438     2438     xfce4-terminal   15          16600        15300   7.83%
180      180      kworker/1:1      1            6100          100  98.36%
3482     3482     firefox          4            7500         9100   0.00%
3715     3753     IPC I/O Child    9            3300         3600   0.00%
3224     3224     akonadi_ical_re  12            700          300  57.14%
3228     3228     akonadi_migrati  15           7600         6800  10.53%
